UserSenderId;SubmitDate;MessageText
11394;10.11.2020 17:43;"<p class=""st0"">Коллеги, кто-нибудь пользвался колленным стулом? Есть ли в нем смысл?<br><a href=""https://antaspb.ru/nw/antaspb/website/design/default/images/photostul/stul9.jpg"">https://antaspb.ru/nw/antaspb/website/design/default/images/photostul/stul9.jpg</a><br></p>"
12529;10.11.2020 12:52;А можно приложить расшифровку по размерам?
16478;10.11.2020 12:10; Николай, уточним у поставщика, есть ли у него другие расцветки. Вернемся с ответом чуть позже)
13044;02.11.2020 10:43;"<p class=""st0"">Где задавать вопросы?<br>К статье?</p>"
14883;14.09.2020 12:34;Судя по фото, это SJCAM SJ4000? Или что-то другое все же?
13044;14.09.2020 12:10;Кто-нибудь мыл сей девайс? больно уж он маркий и вероятно надо продумать стратегию очистки заранее)
17287;12.08.2020 12:30;"<p class=""st0"">А когда планируется награждение? Дети очень ждут)</p>"
17657;04.08.2020 11:47; Виталий, на данный курс цены фиксированные, скидка не предусмотрена.
14761;24.11.2020 01:27;" Виталий,<br>являюсь вынужденным клиентом банка с 2012 года. Могу рассказать много старых и новых историй, с которыми в первый месяц обслуживания гарантировано не столнешься, а вот как надо будет какую-нибудь справку получить (для оформления вычета например), так тут уж... Если интересно, можем созвониться как-нибудь,  <span style=""font-size: 16px; background-color: transparent;"">расскажу подробно, писать текстом обломно, разве что с целью потом на twitch выкладывать. Закладывай не меньше часа. Спойлер: позитива (почти) не будет.</span>"
9153;18.11.2020 15:44;"<p class=""st0"">А у меня постоянно вылезает касперский и ругается на адаптер для флеш-карт встроенный в подставку для ноута. Хотя карт там нет. Но почему-то антивирус постоянно видит попытку чтения оттуда и ругается.<br></p>"
17780;17.11.2020 10:21;" Сергей, пользуюсь <span style=""font-size: 16px; background-color: transparent;"">Sony WH-1000XM3 уже почти год. К ПК подключаю их через юзб адаптер. Без проблем можно ходить по квартире или даже зайти в ванну -- звук не прерывается. Использовать в качестве гарнитуры можно, но есть нюансы: на новых прошивках перемудрили с чувствительностью микрофона и собеседники будут слышать голос как из бочки. Если пользоваться в квартире, то сони неплохо справляются с задачей.<br><br>До этого пользовался вторыми Маршаллами и микрофон на них был ощутимо лучше. Но они безбожно лагали на улице (по ощущениям, фонили даже от автомата с каучуковыми шариками на входе в Перекресток). К тому же, Маршаллы сильно давили на голову, долго их носить было сложно. И шумодава не было. <br></span>"
8906;16.11.2020 01:42;"<div class=""holder"" contenteditable=""true"">                                Барсуков Сергей, использую Marshall Major 2 (уже есть версия 3), по соотношению цена качество - на 4.<div>Плюсы:</div><div>- долго держит заряд (новые заряжал раз в 2 ндели, наверное,</div><div>- приятный дизайн? качество материалов и сборки,</div><div>- адекватная дальность приема (по квартире более чем достаточно),</div><div>- хорошо показывают себя при прослукшивании музыки,<br></div><div>- в комплекте AUX jack(3,5) - jack(3,5) провод, позволяющий оперативно продолжить использовать севшую гарнитуру как проводную,<br></div><div>- цена, около 5тр,<br></div><div><br></div><div><br></div><div>Минусы:</div><div>- довольно тугая пружина, - при продолжительном использовании могут уставать уши,</div><div>- иногда не очень дружат с MS Skype for Business (приходится переподключаться в звонок, либо залезать в настройки приложения),</div><div>- ненаправленный микрофон - хорошо снимает комнату, при этом ты сам слышишь происходящее меньше, чем коллеги, тк наушники cидят довольно плотно.</div><div><br></div><div>Сам, правда, уже подумываю о гарнитуре с направленным микрофоном.</div>                        </div>"
16681;12.11.2020 17:33;"<p class=""st0"">Почините 403 Forbidden</p><p class=""st0"">You don't have permissionр to access /doc/programs/technology/NX Digital Days: Microsoft PowerPoint - features/curriculum.pdf on this server.<br></p>"
9160;12.11.2020 09:11;"<p class=""st0"">Пока выглядит избыточным формализмом и появлением дополнительных бюрократических процедур по согласованию переносов отпусков. Учитывая наш постоянный #DriveChange большая часть отпусков будет всегда переносится. <br></p>"
14534;11.11.2020 08:24;Дюбин Николай, <div>За один месяц в офисе Самурай весь расшатался под моим весом. Хотя может криворукие сборщики плохо затянули болты.</div>
12952;10.11.2020 17:22;"<p class=""st0"">Я пытаюсь записаться на обучение через портал, но у меня нет возможности - есть только ""сообщить о новом расписании""</p>"
17191;21.10.2020 15:22;пампон  оторвался через месяц ((
17164;21.10.2020 13:18; Александр, тоже самое у меня. заказал дебетовую карту просто чтобы потыкать в интернет банк, до того как менять зп проект. В итоге сказали что у меня какие то проблемы с перс. данными, и чтобы ее активировать надо ехать в офис. Но при этом каждое утро мне звонит робот и предлагает кредитку.
9062;21.10.2020 11:22;"<p class=""st0"">Мне сам банк звонит. Предлагает их чудо карту.<br>По началу слушал - потом надоело.</p>"
8893;20.10.2020 10:27;"<p class=""st0"">Ссылка не кликабельна</p>"
8720;19.10.2020 06:47; Даниэлла, перехожу по ссылке и вижу:<div>Вы не можете просмотреть эту запись.Недостаточно прав.<br></div>
8625;03.09.2020 10:47;предполагается что панаму в жару носят, но вентиляции нет , ткань для жары некомфортная , не дышит, голова у ребенка потеет сильно.
17070;31.08.2020 11:14;"<p class=""st0"">Ссылка не очень живая</p><p class=""st0""><br></p>"
8888;12.08.2020 19:13;"<p class=""st0"">Как-то совсем ничего нет<br></p>"
16835;12.08.2020 16:28;"<p class=""st0"">Коллеги, ссылка не доступна</p>"
13060;11.08.2020 16:12;"<p class=""st0"">Ух ты, крутая новость! Обязательно приду=)</p>"
8672;03.08.2020 17:19; Вера, раз по существу сказать нечего, ну и веселитесь.
8459;31.12.2020 12:39;"<p class=""st0"">Большое спасибо подразделению маркетинга и коммуникаций за то, что думаете о нас не только в рабочее время). И отдельное спасибо авторам таких интересных и полезных статей. Всех с наступающим!</p>"
16625;31.12.2020 11:08;"<p class=""st0"">Отлично написано!:)</p>"
16899;31.12.2020 10:34;"<p class=""st0"">Даша, с Днем Рождения! Так мило, прямо 31 декабря, желаю, чтобы в предпраздничной суете самым главным был твой День Рождения и те кто рядом дарили тепло и лучшие поздравления для тебя!!!</p>"
16625;31.12.2020 09:56;"<p class=""st0"">В МИФе при всем изобилии книг,  как раз не хватало тех.литературы:) Большое спасибо!)</p>"
9153;31.12.2020 09:52;"                <p class=""st0"">Вот это подарок!!! Спасибо огромное за O’Reilly.</p>            "
8284;30.12.2020 19:55;"<p class=""st0"">Лена, с Днем Рождения! Здоровья и всяческих успехов!</p>"
8254;30.12.2020 17:28;"<p class=""st0"">Новость отличная, а как книги забрать (например себе на читалку)?</p>"
14761;30.12.2020 17:26;"<p class=""st0"">Саша, ты молодец, все очень хорошо (как всегда) изложил. <br>Только я не вполне понял (возможно уже голова плохо работает от непрырывной работы). Итог какой: факт на лицо?</p>"
14571;30.12.2020 16:48;"<p class=""st0"">Вот и хорошие новости стали подъезжать! Супер!</p>"
15689;30.12.2020 16:47;"<p class=""st0"">Здорово!!! Прекрасная новость к Новому Году :)</p>"
15126;30.12.2020 16:44;"<p class=""st0"">O'Reilly - отличная новость! <br>Спасибо!</p>"
17118;30.12.2020 15:47;Денис, спасибо!) С наступающим Новым Годом)
17118;30.12.2020 15:47;Настя, спасибо тебе) и я тебя обнимаю крепко-крепко))
17118;30.12.2020 15:46;Илья, спасибо большое! Мне очень приятно)<div><br></div>
8256;30.12.2020 15:06;"<p class=""st0"">Коллеги, спасибо за поздравления и с наступающим Новым 21 Годом!!!</p>"
8643;30.12.2020 14:53;"<p class=""st0"">Дмитрий, С Днем Рождения!<br></p>"
17236;30.12.2020 14:12;"<p class=""st0"">СЧАСТЬЯ, ЗДОРОВЬЯ! Детишек побольше)</p>"
8270;30.12.2020 13:29;"<p class=""st0"">Дмитрий, поздравляю! Успехов  во всех начинаниях!</p>"
9122;30.12.2020 12:25;"<p class=""st0"">Дмитрий, поздравляю! Успехов и всего самого лучшего!</p>"
9162;30.12.2020 10:33;"<p class=""st0"">Таня, с днем рождения! Пусть все будет! Неистово обнимаю!</p>"
14890;30.12.2020 10:12;"<p class=""st0"">Дмитрий, С Днем Рождения! Здоровья, успехов и всего самого наилучшего!</p>"
8731;30.12.2020 10:05;Дмитрий,  пользовалась стоматологией в декабре по дмс, все согласовали.
17031;30.12.2020 09:58;"<p class=""st0"">Таня, с Днём Рождения!!!</p><p class=""st0"">Всего тебе самого хорошего!!!</p>"
17168;30.12.2020 09:44;"<p class=""st0"">Тань, ты классная и весёлая девушка с кучей оригинальных идей и четкими планами по их достижению) Ещё больше ярких событий и интересных проектов, с днем рождения! :)</p>"
17229;29.12.2020 16:57;Даниэлла, спасибо
8280;29.12.2020 16:43;"<p class=""st0"">Леночка, всего тебе самого прекрасного, как ты сама )</p>"
8058;29.12.2020 14:30;"<p class=""st0"">Друзья, спасибо за поздравления! Надеюсь, все пожелания сбудутся!) <br></p>"
8679;29.12.2020 11:55;"<p class=""st0"">Привет, желаю всего наилучшего :)</p>"
8701;28.12.2020 13:05;Дмитрий, оформляла ДМС дочери, она в середине декабря ходила в стоматологию без проблем. Видимо, клиника что-то мутит, т.к. страховка действует до конца года.
8679;28.12.2020 12:54;"<p class=""st0"">рисунок отличный :)...</p>"
9037;28.12.2020 10:19;"<p class=""st0"">Спасибо!</p>"
15126;28.12.2020 09:55;"<p class=""st0"">Дима, с днем рождения! Здоровья и успехов профессиональных и личных!</p>"
17649;27.12.2020 12:33;"<p class=""st0"">Спасибо большое за подарок, было неожиданно и очень приятно!</p>"
8488;26.12.2020 15:45;"<p class=""st0"">Коллеги, очень круто! Как приятно увидеть столько достижений. Молодцы! 👍</p>"
8488;25.12.2020 19:32;"<p class=""st0"">Спасибо большое за подарки! Очень приятно. 😍</p>"
8453;25.12.2020 18:28;"<p class=""st0"">Коротко - Супер!  :) <br><br>P.S. <br>&gt;&gt; и запланировали обновление на следующий год региональных офисов в Екатеринбурге...<br>Ура! ждём с нетерпением!<br></p>"
14811;25.12.2020 10:02;"<p class=""st0"">Лех, с днем рождения! Спасибо за помощь в расследовании багов!</p>"
8259;24.12.2020 18:25;"<p class=""st0"">Большое спасибо за подарки всем дарителям - компании и двум Сантам, одному известному, подарившему книгу,  и одному тайному, приславшему чай и много-много сладостей! Очень приятно! Присоединяюсь ко всем уже высказанным благодарностям.</p>"
17553;24.12.2020 17:28; Вера, совсем скоро и вам привезут! ожидайте сообщение на телефон :)
17553;24.12.2020 17:27; Константин, Нам было приятно поработать Сантами и порадовать вас тоже! :)
9036;24.12.2020 13:06;"<p class=""st0"">На Android 10 норм завелось</p>"
8776;24.12.2020 09:58;"<p class=""st0"">Спасибо! Новая аутентификация действительно удобнее.</p>"
8925;23.12.2020 18:51;"<p class=""st0"">Присоединюсь! Огромнейшее спасибо за подарок! Это очень круто! <br>За игрушки на елку отдельное спасибо, нет нет спойлеров не будет :)</p>"
8661;22.12.2020 10:10;"<p class=""st0"">Баздравляю, здоровья</p>"
9057;22.12.2020 09:39;"<p class=""st0"">Спасибо огромное за подарок! Очень приятно ощутить заботу компании в столь непростое время. Спасибо большое организаторам за такие ""придумки""! Всем здоровья  и счастья!</p>"
8401;21.12.2020 10:07;"<p class=""st0"">Андрей, как всегда, от души, с Днем Рождения! Будь здоров! Жму краба!</p>"
16574;16.12.2020 11:24;"<p class=""st0"">Честно, спасибо за такие задумки в столь непростых условиях. Нашей командой стоит гордится, спасибо Вам за подобные вещи.</p>"
17163;11.12.2020 13:09; Анвар, добавили в новость, спасибо! 
9194;11.12.2020 11:30;"<p class=""st0"">Спасибо, очень полезная и удобная фича </p>"
9162;11.12.2020 10:29;"<p class=""st0"">Илья, с днем рождения! Всего самого классного, вдохновляющего и крутого в твоем новом году. Пусть все получается. И активного профессионального развития:) Ты молодец!</p>"
8958;11.12.2020 08:22;"<p class=""st0"">Это была мечта с 2016 года. И вот она стала реальность. Спасибо всем, кто не бросил идею и довёл реализацию до конца. Вы крутые!</p>"
8222;03.12.2020 12:25;"<p class=""st0"">Коллеги, спасибо за организацию такой акции! <br>Очень здорово, что можно купить у нас в маркете и на сайтах со скидкой.<br>Доставка в офис всех покупок- это тоже круто)</p>"
16476;02.12.2020 17:50;"<p class=""st0"">Спасибо! Купила крутой удобный рюкзак, который давно хотела:)</p>"
17230;02.12.2020 15:23;"<p class=""st0"">Как здорово! Может стоит оставить такие товары на постоянной основе? И добавить Доброшрифт!)</p>"
15247;01.12.2020 12:29; Николай, привет. У меня корректное название после скачивания и открывается файл нормально.
12444;01.12.2020 11:53;"                <p class=""st0"">Очень рад видеть новую благотворительную компанию в NX Store! Наконец смог пристроить все свои Некси! :)</p><p class=""st0"">Всем коллегам, причастным к организации мероприятия - большое спасибо! </p>            "
8801;30.11.2020 16:29;"<p class=""st0"">Ого, неожиданно! Супер, коллеги. Так держать!  Надеюсь это не последнее внедрение!</p>"
8129;30.11.2020 10:16;"<p class=""st0"">Молодцы! Поздравляю!<br></p>"
17657;27.11.2020 16:41; Алексей, спасибо за внимательность! Исправила.
